#options: 1280x850 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=290 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:47.47 aq:32.49 tex:37925 mv:14218 misc:6121 imb:4320 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:48.16 aq:39.07 tex:111 mv:84 misc:317 imb:6 pmb:9 smb:4305 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:48.16 aq:43.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4320 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:48.16 aq:46.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4320 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:48.16 aq:46.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4320 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:47.70 aq:34.49 tex:103 mv:36 misc:317 imb:2 pmb:6 smb:4312 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:47.93 aq:43.00 tex:0 mv:0 misc:272 imb:0 pmb:0 smb:4320 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:48.05 aq:46.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4320 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:47.82 aq:46.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4320 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:47.21 aq:33.87 tex:172 mv:65 misc:307 imb:10 pmb:1 smb:4309 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:47.46 aq:46.30 tex:37 mv:76 misc:295 imb:0 pmb:9 smb:4311 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:47.58 aq:45.00 tex:0 mv:57 misc:263 imb:0 pmb:4 smb:4316 d:s ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:47.34 aq:46.99 tex:43 mv:112 misc:277 imb:1 pmb:8 smb:4311 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:46.69 aq:34.22 tex:393 mv:130 misc:341 imb:16 pmb:9 smb:4295 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:46.95 aq:46.52 tex:99 mv:55 misc:310 imb:2 pmb:10 smb:4308 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:47.08 aq:40.47 tex:76 mv:103 misc:277 imb:1 pmb:10 smb:4309 d:s ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:46.82 aq:38.69 tex:252 mv:162 misc:314 imb:10 pmb:9 smb:4301 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:46.14 aq:36.87 tex:1192 mv:317 misc:395 imb:43 pmb:15 smb:4262 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:46.41 aq:45.36 tex:254 mv:200 misc:354 imb:13 pmb:14 smb:4293 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:46.55 aq:43.71 tex:187 mv:123 misc:306 imb:7 pmb:12 smb:4301 d:s ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:46.28 aq:46.21 tex:71 mv:234 misc:311 imb:9 pmb:12 smb:4299 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:48.68 aq:44.15 tex:272 mv:48 misc:288 imb:5 pmb:2 smb:4313 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:47.41 aq:48.61 tex:46 mv:56 misc:282 imb:0 pmb:6 smb:4314 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:46.78 aq:48.78 tex:31 mv:79 misc:266 imb:0 pmb:5 smb:4315 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:48.05 aq:49.50 tex:46 mv:31 misc:267 imb:0 pmb:3 smb:4317 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:43.01 aq:27.06 tex:1582 mv:1294 misc:972 imb:776 pmb:46 smb:3498 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:45.85 aq:47.61 tex:54 mv:25 misc:289 imb:0 pmb:4 smb:4316 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:47.27 aq:45.00 tex:1 mv:21 misc:266 imb:0 pmb:3 smb:4317 d:t ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:44.43 aq:42.00 tex:0 mv:19 misc:261 imb:0 pmb:2 smb:4318 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:39.22 aq:32.08 tex:4479 mv:1437 misc:1244 imb:192 pmb:149 smb:3979 d:s ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:41.11 aq:37.00 tex:0 mv:61 misc:291 imb:0 pmb:5 smb:4315 d:s ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:42.06 aq:40.00 tex:0 mv:20 misc:260 imb:0 pmb:2 smb:4318 d:s ref:0 ;
